,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
79,C. Miles,Indiana,44,72,81,103,156,222,376,70,181,24,37,57
80,D. Nowitzki,Dallas,75,80,94,195,73,426,192,49,306,22,47,39
81,D. Williams,Dallas,273,57,71,132,63,272,181,40,89,13,97,49
82,H. Barnes,Dallas,113,222,258,505,72,1030,208,75,295,95,96,94
83,A. Bogut,Dallas,49,3,11,38,0,80,1,26,162,54,43,11
84,W. Matthews,Dallas,191,136,167,152,168,356,457,69,232,20,98,89
85,J. Barea,Dallas,163,40,47,78,41,171,122,30,60,9,48,33
86,S. Curry,Dallas,188,77,89,201,137,381,320,70,153,25,92,59
87,D. Powell,Dallas,45,97,126,162,8,284,35,69,193,88,27,22
88,J. Anderson,Dallas,32,70,88,74,37,154,122,49,110,39,40,28
89,N. Brussino,Dallas,29,6,9,14,16,28,57,38,47,18,14,9
90,D. Finney-Smith,Dallas,56,44,59,58,53,117,167,70,148,44,40,36
91,E. Fournier,Orlando,192,193,237,264,115,533,333,63,158,45,134,87
92,N. Vučević,Orlando,193,106,158,421,19,876,69,69,550,164,111,102
93,S. Ibaka,Orlando,59,75,88,260,83,489,215,56,282,100,66,53
94,A. Gordon,Orlando,138,140,200,281,67,535,243,74,253,102,81,102
95,E. Payton,Orlando,474,132,194,355,36,698,136,76,272,83,164,101
96,J. Green,Orlando,80,142,164,167,53,365,193,69,173,38,75,75
97,M. Hezonja,Orlando,54,29,38,66,36,166,127,54,111,17,52,30
98,D. Augustin,Orlando,201,122,150,97,93,232,262,74,98,14,81,62
99,J. Winslow,Miami,65,29,47,73,7,190,35,18,71,23,33,30
100,H. Whiteside,Miami,50,197,316,498,0,888,0,71,730,269,144,77
101,G. Dragić,Miami,395,251,319,376,109,755,268,67,204,58,194,136
102,L. Babbitt,Miami,34,10,14,25,85,70,207,66,126,13,25,35
103,D. Waiters,Miami,201,82,126,196,85,447,216,46,135,18,103,89
104,J. Johnson,Miami,241,141,200,250,78,462,228,70,279,60,155,76
105,T. Johnson,Miami,215,166,218,253,80,536,227,67,222,48,81,103
106,W. Reed,Miami,24,46,81,146,1,257,4,65,185,117,28,26
107,R. McGruder,Miami,111,39,64,107,69,217,206,72,150,87,47,69
108,D. DeRozan,Toronto,267,486,579,643,33,1330,119,69,305,66,165,183
109,J. Valančiūnas,Toronto,51,172,211,358,0,650,0,74,502,214,101,67
110,K. Lowry,Toronto,386,275,335,218,185,426,442,56,221,47,156,119
111,P. Siakam,Toronto,17,22,32,98,1,191,6,53,113,61,32,22
112,D. Carroll,Toronto,72,85,112,106,102,218,295,66,199,62,49,59
