,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
40,U. Haslem,Miami,34,72,86,120,0,276,0,49,268,93,46,39
41,S. Battier,Miami,57,14,25,36,51,83,145,50,71,39,27,29
42,J. Jones,Miami,9,15,17,7,27,15,65,29,21,5,8,12
43,D. Pittman,Miami,5,10,18,19,0,48,0,24,30,15,7,5
44,T. Harris,Miami,9,6,8,7,5,13,13,10,14,10,10,3
45,J. McRoberts,LA Lakers,34,18,28,33,0,65,1,33,71,43,23,9
46,P. Gasol,LA Lakers,173,159,204,351,5,685,19,52,399,146,115,77
47,D. Fisher,LA Lakers,142,44,53,68,24,166,74,43,82,10,58,42
48,K. Bryant,LA Lakers,241,326,383,436,75,950,265,52,224,64,191,149
49,D. Ebanks,LA Lakers,6,12,18,10,0,25,2,12,13,11,9,4
50,T. Murphy,LA Lakers,42,4,7,35,26,77,63,44,125,31,21,14
51,A. Goudelock,LA Lakers,17,9,10,38,25,91,69,34,20,5,19,21
52,S. Blake,LA Lakers,126,10,15,36,38,80,120,39,60,6,54,21
53,M. World,LA Lakers,0,0,0,0,0,0,0,50,115,49,52,0
54,D. Rose,Chicago,271,168,204,228,48,461,153,34,94,24,99,80
55,C. Boozer,Chicago,96,83,115,371,0,690,1,53,348,90,93,74
56,J. Noah,Chicago,137,117,157,194,0,390,1,51,312,192,75,54
57,L. Deng,Chicago,133,104,133,188,66,445,169,44,226,62,83,89
58,Ö. Aşık,Chicago,27,39,84,71,0,135,0,52,179,100,58,38
59,R. Brewer,Chicago,113,49,86,145,19,313,65,53,129,58,49,45
60,C. Watson,Chicago,139,64,79,72,55,203,128,36,59,18,72,44
61,T. Gibson,Chicago,37,64,109,162,0,322,0,50,149,107,48,43
62,K. Korver,Chicago,89,36,42,45,92,107,215,53,103,21,41,45
63,R. Hamilton,Chicago,49,14,15,74,6,156,21,15,29,10,28,22
64,K. Durant,Oklahoma City,180,291,342,402,97,738,258,51,382,32,187,121
65,T. Sefolosha,Oklahoma City,25,31,35,22,20,54,40,27,60,11,18,9
66,R. Westbrook,Oklahoma City,278,254,310,421,50,839,152,51,154,71,190,102
67,K. Perkins,Oklahoma City,58,60,92,90,0,185,0,50,226,88,96,25
68,S. Ibaka,Oklahoma City,22,64,95,195,1,368,1,51,244,162,63,52
69,N. Collison,Oklahoma City,61,29,43,87,0,138,0,48,117,77,49,16
70,N. Mohammed,Oklahoma City,11,11,19,66,0,142,1,47,92,45,19,19
71,J. Harden,Oklahoma City,191,246,294,162,92,280,235,50,181,26,112,62
72,E. Maynor,Oklahoma City,22,4,4,8,6,22,17,9,10,3,11,5
73,D. Cook,Oklahoma City,12,8,14,25,64,52,189,44,95,11,14,28
74,J. Nelson,Orlando,241,44,59,129,62,270,164,45,113,21,100,59
75,R. Anderson,Orlando,46,121,139,125,147,265,353,51,201,180,46,78
76,D. Howard,Orlando,97,269,551,408,0,697,7,52,567,188,168,67
77,H. Türkoğlu,Orlando,225,64,91,107,82,230,239,49,162,24,133,48
78,J. Richardson,Orlando,80,29,52,102,73,228,199,41,111,25,50,59
79,G. Davis,Orlando,35,74,110,146,1,368,11,49,160,65,57,32
80,J. Redick,Orlando,128,89,100,100,87,241,202,52,103,13,55,55
81,E. Clark,Orlando,9,8,12,27,0,77,0,31,52,24,21,11
82,C. Duhon,Orlando,125,14,18,32,41,76,94,52,75,11,68,17
83,V. Wafer,Orlando,13,21,29,39,9,78,27,23,22,2,24,7
84,D. Lee,Golden State,133,183,232,390,0,761,4,49,324,148,123,75
85,A. Biedriņš,Golden State,10,1,9,35,0,57,0,36,107,36,9,6
86,S. Curry,Golden State,138,34,39,90,55,175,121,25,73,15,65,25
87,M. Ellis,Golden State,223,146,179,255,50,548,156,37,111,16,123,70
88,D. Wright,Golden State,77,56,70,80,88,170,236,49,182,45,42,51
89,E. Udoh,Golden State,31,46,64,82,0,185,0,38,89,58,35,18
90,K. Thompson,Golden State,88,48,55,122,78,279,182,50,81,19,67,37
91,B. Rush,Golden State,64,55,67,89,72,171,162,50,166,25,52,33
92,I. Smith,Golden State,9,1,2,10,2,25,5,4,7,2,1,4
93,K. Brown,Golden State,4,15,34,21,0,40,0,9,41,16,14,4
94,C. Jenkins,Golden State,69,14,14,62,3,121,14,35,24,3,28,12
